Date,Open,High,Low,Close
09/05/2022,1.1511,1.1522,1.1443,1.1518
09/02/2022,1.1545,1.1589,1.1495,1.1512
09/01/2022,1.1624,1.1627,1.1501,1.1546
08/31/22,1.1654,1.1695,1.16,1.1621
08/30/22,1.1709,1.1762,1.1622,1.1655
08/29/22,1.1731,1.1744,1.1648,1.1707
08/26/22,1.1833,1.1898,1.173,1.1739
08/25/22,1.1798,1.1865,1.1784,1.1835
08/24/22,1.1834,1.1846,1.1756,1.1795
08/23/22,1.1778,1.1877,1.1717,1.1835
08/22/22,1.1829,1.1838,1.1741,1.1768
08/19/22,1.193,1.1982,1.1792,1.1831
08/18/22,1.2047,1.2081,1.1922,1.1931
08/17/22,1.2096,1.2137,1.2028,1.2049
08/16/22,1.2055,1.2118,1.2007,1.2098
08/15/22,1.2142,1.2155,1.205,1.2053
08/12/2022,1.2205,1.2218,1.2101,1.2138
08/11/2022,1.2221,1.225,1.2182,1.2199
08/10/2022,1.2075,1.2276,1.2065,1.2219
08/09/2022,1.208,1.2131,1.2063,1.2076
08/08/2022,1.2073,1.2138,1.2047,1.2078
08/05/2022,1.216,1.217,1.2004,1.2069
08/04/2022,1.2144,1.2211,1.2066,1.2159
08/03/2022,1.2166,1.2208,1.21,1.2146
08/02/2022,1.2252,1.2279,1.2158,1.2165
08/01/2022,1.2168,1.2294,1.2156,1.2251
07/29/22,1.2172,1.2246,1.2064,1.218
07/28/22,1.2157,1.2193,1.2104,1.2178
07/27/22,1.2028,1.2187,1.2021,1.2156
07/26/22,1.2046,1.2091,1.1963,1.2031
07/25/22,1.2004,1.2086,1.196,1.2045
07/22/22,1.2002,1.2064,1.1916,1.2006
07/21/22,1.1974,1.2005,1.1891,1.2004
07/20/22,1.1994,1.2038,1.1954,1.1978
07/19/22,1.1954,1.2044,1.1925,1.1996
07/18/22,1.1869,1.2033,1.1862,1.1953
07/15/22,1.1826,1.1875,1.1805,1.1868
07/14/22,1.189,1.1895,1.176,1.1825
07/13/22,1.1888,1.1967,1.1829,1.1888
07/12/2022,1.1891,1.1916,1.1807,1.1889
07/11/2022,1.2029,1.2038,1.1867,1.1892
07/08/2022,1.2025,1.2056,1.1919,1.2035
07/07/2022,1.1925,1.2031,1.191,1.2024
07/06/2022,1.1955,1.1989,1.1876,1.1926
07/05/2022,1.2105,1.2126,1.1901,1.1958
07/04/2022,1.21,1.2166,1.2084,1.2103
07/01/2022,1.2181,1.2183,1.1979,1.2098
06/30/22,1.2123,1.2189,1.2092,1.2178
06/29/22,1.2186,1.2214,1.2105,1.2121
06/28/22,1.2265,1.2292,1.218,1.2187
06/27/22,1.2264,1.2333,1.2238,1.2267
06/24/22,1.2259,1.232,1.2242,1.2273
06/23/22,1.2265,1.2295,1.217,1.2261
06/22/22,1.2277,1.2315,1.2162,1.2262
06/21/22,1.2252,1.2323,1.2242,1.2278
06/20/22,1.2226,1.228,1.2199,1.2251
06/17/22,1.2352,1.2367,1.2173,1.2223
06/16/22,1.2178,1.2401,1.2045,1.235
06/15/22,1.1997,1.2206,1.1985,1.2177
06/14/22,1.2133,1.2208,1.1937,1.1999
06/13/22,1.2318,1.2331,1.2109,1.2134
06/10/2022,1.2492,1.2518,1.2301,1.2315
06/09/2022,1.2538,1.2558,1.2487,1.2495
06/08/2022,1.259,1.2597,1.2513,1.2537
06/07/2022,1.2532,1.26,1.2435,1.2589
06/06/2022,1.2489,1.2578,1.2477,1.2533
06/03/2022,1.2577,1.259,1.2484,1.2489
06/02/2022,1.2491,1.2587,1.2469,1.2578
06/01/2022,1.2602,1.2617,1.2459,1.2487
05/31/22,1.2652,1.2656,1.256,1.2603
05/30/22,1.2618,1.2661,1.2614,1.2653
05/27/22,1.2605,1.2668,1.2587,1.2632
05/26/22,1.2575,1.2621,1.2551,1.2607
05/25/22,1.2531,1.2592,1.2482,1.2576
05/24/22,1.2589,1.2599,1.2472,1.2533
05/23/22,1.2489,1.2602,1.2472,1.2588
05/20/22,1.2469,1.2501,1.2439,1.2493
05/19/22,1.2343,1.2525,1.2338,1.2473
05/18/22,1.2493,1.2501,1.233,1.2344
05/17/22,1.2323,1.25,1.2316,1.2496
05/16/22,1.2264,1.233,1.2218,1.2321
05/13/22,1.2203,1.2265,1.2158,1.2264
05/12/2022,1.225,1.2259,1.2167,1.2201
05/11/2022,1.2315,1.2399,1.2237,1.2251
05/10/2022,1.2334,1.2375,1.2292,1.2316
05/09/2022,1.2352,1.2407,1.2261,1.2331
05/06/2022,1.236,1.2381,1.2276,1.234
05/05/2022,1.2633,1.2637,1.2325,1.2359
05/04/2022,1.2499,1.2639,1.2457,1.2635
05/03/2022,1.2491,1.2567,1.2471,1.25
05/02/2022,1.2592,1.2598,1.2473,1.2494
04/29/22,1.2459,1.2613,1.2448,1.2576
04/28/22,1.2546,1.2569,1.2412,1.2458
04/27/22,1.2572,1.2603,1.2502,1.2544
04/26/22,1.2739,1.2773,1.2571,1.2573
04/25/22,1.2862,1.2874,1.2697,1.2741
04/22/22,1.3028,1.3036,1.2822,1.2838
04/21/22,1.3053,1.309,1.3022,1.3029
04/20/22,1.3,1.3072,1.2993,1.3067
04/19/22,1.3019,1.3042,1.2981,1.2998
04/18/22,1.3051,1.3076,1.3004,1.3011
04/15/22,1.3074,1.308,1.3049,1.306
04/14/22,1.3116,1.3148,1.3034,1.3078
04/13/22,1.3001,1.3119,1.2973,1.3117
04/12/2022,1.303,1.3053,1.2995,1.3002
